guid,title,contentLength,created,updated,updateSequenceNum,tagGuids,notebookGuid,notebookName,attr_author,attr_source,attr_sourceURL,attr_sourceApplication,attr_shareDate
d1ba2166-9dac-4ccd-80a7-37f272e4d2ab,VMess 协议 · V2Ray 配置指南|V2Ray 白话文教程,102715,1606308375000,1606308375000,38383,,9264f8ed-77a7-483d-b011-2525d19f2ba8,01.inbox,,web.clip7,https://toutyrater.github.io/basic/vmess.html,webclipper.evernote,
4310b1d9-e511-438f-bdab-82ffae6e5557,"Keyframes, InterFrame & Video Compression | IBM Cloud Video",88656,1606307951000,1606307951000,38374,,9264f8ed-77a7-483d-b011-2525d19f2ba8,01.inbox,,web.clip7,https://blog.video.ibm.com/streaming-video-tips/keyframes-interframe-video-compression/?itm_source=blog&itm_medium=onsite&itm_content=what_is_encoding_blog&itm_campaign=ibm_cloud_video,webclipper.evernote,
9493627e-3d06-4553-9907-448f1b81f637,Text Classification: Supervised & Unsupervised Learning Approaches | by ShengJun | Towards Data Science,75570,1606307933000,1606307933000,38352,,9264f8ed-77a7-483d-b011-2525d19f2ba8,01.inbox,,web.clip7,https://towardsdatascience.com/text-classification-supervised-unsupervised-learning-approaches-9fd5e01a036,webclipper.evernote,
521d5575-f6b2-48e7-b515-28514068df9c,Unsupervised Text Classification. NLP with unsupervised prediction | by Medium medecindirect.fr | Medium,32106,1606302985000,1606302985000,38336,,9264f8ed-77a7-483d-b011-2525d19f2ba8,01.inbox,,web.clip7,https://medium.com/@ai_medecindirect/unsupervised-text-classification-695392c6fac7#id_token=eyJhbGciOiJSUzI1NiIsImtpZCI6ImRlZGMwMTJkMDdmNTJhZWRmZDVmOTc3ODRlMWJjYmUyM2MxOTcyNGQiLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL2FjY291bnRzLmdvb2dsZS5jb20iLCJuYmYiOjE2MDYzMDI2MTEsImF1ZCI6IjIxNjI5NjAzNTgzNC1rMWs2cWUwNjBzMnRwMmEyamFtNGxqZGNtczAwc3R0Zy5hcHBzLmdvb2dsZXVzZXJjb250ZW50LmNvbSIsInN1YiI6IjExNTg1MDE4MzU1OTAzNjE2MDYwNyIsImVtYWlsIjoiamlla3VueWFuZ0BnbWFpbC5jb20iLCJlbWFpbF92ZXJpZmllZCI6dHJ1ZSwiYXpwIjoiMjE2Mjk2MDM1ODM0LWsxazZxZTA2MHMydHAyYTJqYW00bGpkY21zMDBzdHRnLmFwcHMuZ29vZ2xldXNlcmNvbnRlbnQuY29tIiwibmFtZSI6IkphY2tvbiBZYW5nIiwicGljdHVyZSI6Imh0dHBzOi8vbGgzLmdvb2dsZXVzZXJjb250ZW50LmNvbS9hLS9BT2gxNEdqWVgycGgxRmk1MHA0SUhlOE1tcXNVdjM2UUZwS3h0ejc0bFZWZENRPXM5Ni1jIiwiZ2l2ZW5fbmFtZSI6IkphY2tvbiIsImZhbWlseV9uYW1lIjoiWWFuZyIsImlhdCI6MTYwNjMwMjkxMSwiZXhwIjoxNjA2MzA2NTExLCJqdGkiOiIyYTA2YTJlYjliNDE0NWQ1YWFjMjNlYmY1M2M1ODA2M2NkZDZmZWVkIn0.KDsqCnk_gnpZqtDfGyst7b96LR_1tPAT9MFNkFCB3OOr21UZwg9HX3x_9RxelS7jy0yLe5bx7ZJ02dJbFNLTO0ov7s5U7HJXdWeDwebrU0DkxleGxVVthCgFw99onqZ0ES5Ui9zCc1Tg2zebdiZGSwtv9kzvOUuSPuZk03fP42GDKMSPkTRpRWqVwR1QwT2biMhW2nuMyJ4X78MieO-4m8SHQ8XhpVcG8xRJQ4vDrz2Cs1nt6C2GASFpwICtQp_nPjI3-p5KR3n0ZzOJ10l-ggL7lE2cq0ZfqfRU2Zr5QME_dihm19JQHYolT04VarNTGkABFpMUL_fIzR95_7EFrQ,webclipper.evernote,
0e079638-b11d-49d0-8472-2e3a4079d491,什么是视频编码？编解码器和压缩技术 - 简书,44012,1606302825000,1606302825000,38327,,9264f8ed-77a7-483d-b011-2525d19f2ba8,01.inbox,,web.clip7,https://www.jianshu.com/p/d06f0ee82d7f,webclipper.evernote,
1844a1ab-2ca8-4da2-990b-624f9d314d2f,CLOC -- Count Lines of Code,324,1606294808000,1606294808000,38324,,315a7a80-0913-45c9-9cbb-8b0ec6757486,22.记录,,web.clip7,http://cloc.sourceforge.net/,webclipper.evernote,
c647e808-c283-410f-9ed1-6724a475bdb5,brain storms,1236,1606273735000,1606294570000,38325,,c6fe3aaf-82a4-439d-b81e-f78108b811bb,00.随手记,Jackon,desktop.win,https://www.hotbak.net/key/%E4%B8%80%E4%BA%9B%E8%91%97%E5%90%8D%E5%BC%80%E6%BA%90%E9%A1%B9%E7%9B%AE%E7%9A%84%E6%BA%90%E4%BB%A3%E7%A0%81%E8%A1%8C%E6%95%B0%E7%BB%9F%E8%AE%A1it610com.html,evernote.win32,
697d0643-b470-43a8-b91d-29ab79e2fd67,代码行数最多的 Python 项目是？ - 云+社区 - 腾讯云,13809,1606273918000,1606273918000,38321,,9264f8ed-77a7-483d-b011-2525d19f2ba8,01.inbox,,web.clip7,https://cloud.tencent.com/developer/article/1149478,webclipper.evernote,
c852888e-6b7f-4def-bcfa-3c47d3960652,【今日分享】202011251、资源｜我们为什么爱宋朝：康震,909,1606262879000,1606262879000,38320,['e3a7f4a4-7883-4b1b-91ed-a406f01190b5'],9264f8ed-77a7-483d-b011-2525d19f2ba8,01.inbox,,,,微信,
9d15ab84-23da-4e55-9e74-0f42ed082a40,game-江南百景图-明朝,74271,1606231267000,1606238230000,38319,,c6fe3aaf-82a4-439d-b81e-f78108b811bb,00.随手记,Jackon,yinxiang.superNote,,,
